"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"12/31/2016","258","Westlands, Nairobi","192","Central Business District, Nairobi",290,132,636,282,136,586,346,166,720,297,136,648,250,120,523,292,129,659
"01/01/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",289,137,610,330,157,692,269,140,517,297,145,605,300,134,672,266,123,576
"01/02/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",412,184,919,339,165,694,712,358,1418,411,189,893,330,153,711,239,123,462
"01/03/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",491,205,1178,367,161,836,658,262,1648,576,252,1313,336,152,740,383,169,866
"01/04/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",516,218,1218,396,194,809,796,358,1771,595,286,1237,320,144,711,298,136,653
"01/05/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",514,223,1181,400,220,727,829,405,1698,591,273,1279,334,155,719,373,153,907
"01/06/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",423,176,1018,342,171,682,431,177,1047,570,257,1262,359,152,849,280,124,635
"01/07/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",299,139,640,227,106,486,348,155,779,361,164,793,267,139,515,257,123,535
"01/08/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",537,233,1237,564,289,1101,893,429,1858,565,271,1176,341,147,789,239,122,470
"01/09/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",609,260,1421,650,337,1252,955,378,2409,663,341,1289,377,160,885,273,125,593
"01/10/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",531,228,1238,461,225,947,854,375,1944,581,269,1250,337,150,757,326,140,762
"01/11/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",596,249,1426,565,279,1143,1089,515,2302,623,292,1331,394,170,915,261,122,559
"01/12/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",574,231,1423,540,264,1104,1004,440,2291,624,275,1418,419,168,1044,308,136,697
"01/13/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",382,164,893,315,171,579,369,154,886,550,239,1261,330,154,705,226,106,479
"01/14/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",275,129,584,244,132,449,325,138,768,295,140,621,262,124,557,248,119,513
"01/15/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",592,245,1433,586,274,1251,896,383,2097,660,308,1413,390,157,967,283,136,587
"01/16/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",665,275,1606,585,285,1200,1058,498,2248,733,327,1643,473,187,1194,280,138,568
"01/17/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",576,239,1390,562,250,1265,898,399,2019,636,298,1357,344,144,825,368,155,869
"01/18/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",655,268,1602,626,317,1236,1365,625,2982,656,335,1285,402,158,1020,261,125,541
"01/19/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",559,243,1284,549,267,1128,757,317,1808,639,315,1296,450,188,1076,292,139,613
"01/20/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",359,159,814,308,154,613,327,150,713,509,243,1063,297,142,622,263,116,595
"01/21/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",297,136,644,250,126,498,288,141,589,336,151,749,332,148,744,248,119,519
"01/22/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",544,238,1246,603,293,1243,799,288,2213,587,299,1149,327,158,677,291,142,594
"01/23/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",606,254,1444,662,392,1119,910,358,2308,666,306,1448,321,138,746,269,135,536
"01/24/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",600,264,1361,705,406,1226,833,408,1699,665,333,1327,315,146,677,312,146,666
"01/25/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",598,259,1381,686,366,1284,850,355,2034,651,328,1289,374,167,835,286,128,639
"01/26/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",550,231,1306,649,316,1331,744,300,1844,614,278,1357,377,173,821,343,150,785
"01/27/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",369,163,834,342,166,705,372,172,802,519,237,1134,338,147,777,246,123,490
"01/28/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",296,135,650,242,115,507,307,135,698,349,173,702,277,126,609,268,120,596
"01/29/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",584,241,1411,826,397,1721,778,332,1820,620,290,1322,357,151,844,273,133,559
"01/30/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",760,316,1823,774,465,1288,1195,490,2916,719,362,1430,746,260,2142,267,114,626
"01/31/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",594,259,1361,534,289,988,1007,423,2398,611,294,1270,452,184,1113,367,168,800
"02/01/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",597,248,1436,670,321,1394,759,293,1963,740,354,1544,340,158,729,293,137,626
"02/02/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",642,268,1537,554,274,1120,985,425,2280,806,380,1709,453,196,1042,359,155,832
"02/03/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",409,176,953,333,172,646,390,177,858,599,288,1246,337,156,729,245,109,553
"02/04/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",289,137,607,269,127,570,295,161,538,335,156,717,326,152,697,221,108,450
"02/05/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",581,238,1418,612,270,1388,1074,473,2436,563,266,1189,402,154,1045,296,143,613
"02/06/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",574,255,1291,674,338,1342,875,405,1891,601,310,1163,314,143,688,272,135,546
"02/07/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",604,264,1384,630,317,1253,839,358,1968,696,348,1392,294,142,606,343,163,719
"02/08/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",599,251,1429,616,296,1281,782,308,1984,704,339,1465,397,171,923,263,128,542
"02/09/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",523,225,1215,616,322,1178,655,270,1589,634,313,1283,342,156,748,305,134,693
"02/10/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",327,147,730,283,153,525,285,133,609,448,195,1027,292,139,613,239,112,510
"02/11/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",281,132,598,236,129,431,294,140,616,342,158,738,277,135,566,230,108,492
"02/12/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",647,276,1512,773,395,1514,881,373,2079,714,364,1402,342,151,772,295,142,612
"02/13/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",695,283,1705,826,416,1639,979,437,2193,749,337,1663,486,197,1200,278,129,598
"02/14/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",541,231,1264,674,371,1222,751,319,1764,601,273,1320,294,140,616,312,146,667
"02/15/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",577,241,1379,571,256,1272,863,392,1903,682,324,1436,348,154,785,257,128,515
"02/16/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",567,243,1322,616,288,1316,883,357,2179,578,271,1231,451,201,1011,370,156,877
"02/17/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",398,174,908,294,139,619,458,208,1006,573,274,1197,321,148,694,266,123,578
"02/18/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",265,124,563,238,114,497,257,115,570,319,153,665,267,131,545,222,106,465
"02/19/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",519,215,1250,645,282,1475,720,284,1825,551,260,1169,320,140,730,284,133,608
