ride_id,number_of_ticket
15344,17.77
15335,2.185
15339,7.845
15338,4.675
15337,7.045
15336,2.78
247,6.11
15316,31.445
15323,29.95
15317,25.115
15318,6.33
15319,9.69
15320,6.445
15322,23.425
15321,2.31
15324,3.265
15325,9.425
15326,8.875
256,6.2
15303,6.155
15298,2.035
15297,20.565
15296,3.09
15299,20.22
15300,26.595
15301,9.555
15302,17.98
15295,5.315
15304,7.4
15305,12.765
15306,17.195
15307,11.44
298,9.35
275,1.005
288,10.51
15264,1.365
286,10.48
292,9.29
15282,1.255
15280,1.635
15279,1.07
15262,20.555
15261,1.445
15260,1.77
15259,5.1
15258,2.085
15257,1.125
15256,1.11
15254,1.695
15250,2.07
15249,2.655
15247,3.295
15243,26.495
15242,28.675
15237,13.525
15235,1.06
15234,2.465
15231,37.375
15230,15.28
15229,9.315
15228,1.605
15224,29.075
15265,5.595
15267,7.58
15268,18.4
15274,15.9
15277,2.65
15278,1.665
285,9.67
287,7.105
15263,1.615
374,8.13
438,12.305
434,1.285
432,2.195
427,5.31
418,5.42
410,8.57
401,7.155
399,6.825
377,5.165
436,1.0
373,9.695
329,3.465
364,4.96
310,2.42
311,9.21
302,9.52
341,9.335
344,9.96
358,9.68
563,6.725
494,8.08
553,9.78
545,8.565
531,8.945
530,1.415
519,9.6
508,3.62
496,9.46
471,7.19
486,4.365
485,11.47
841,9.465
473,5.87
470,4.425
469,3.295
468,8.36
15101,2.465
583,9.69
573,8.265
674,8.28
592,9.155
595,11.855
765,9.47
760,2.18
757,8.99
735,8.72
718,7.845
709,8.785
700,21.385
697,7.59
679,8.1
15103,22.395
670,8.67
662,8.315
651,8.24
640,7.195
617,10.175
606,9.68
605,8.865
15102,35.61
15115,1.94
15104,23.345
15184,1.365
15187,5.625
15188,1.995
15191,10.0
15194,19.48
15196,6.715
15198,2.79
15199,1.785
15201,6.49
15202,5.285
15203,7.805
15204,6.24
15205,2.91
15206,3.865
15207,1.245
15208,11.42
15209,8.18
464,5.345
15185,16.065
15176,1.08
15105,3.12
15172,1.9
15106,1.59
15107,1.52
15108,2.2
15109,33.29
15110,23.745
15112,2.63
15114,3.945
793,8.94
15119,17.88
15120,2.855
15121,14.29
15122,9.15
15127,1.555
15128,1.11
15160,1.605
15167,2.115
15171,1.03
780,8.895
807,2.055
475,8.98
854,9.23
856,9.605
888,8.905
902,8.95
15073,1.185
15056,1.955
15059,4.585
15061,5.375
15069,17.615
15070,7.22
15071,17.77
15072,14.47
15076,4.07
15074,3.045
15075,18.98
15053,1.78
15077,10.425
15078,7.645
15079,1.875
15080,9.035
15081,6.93
15055,2.59
15041,1.13
15045,3.82
15083,8.95
15001,2.43
15002,3.215
15004,33.59
15005,1.34
15006,1.6
15007,31.835
15008,29.53
15009,2.13
15010,12.985
15013,1.3
15014,23.335
15015,12.085
15017,8.13
15030,5.445
15038,1.66
15082,7.085
15012,1.72
1123,5.91
1136,8.845
1265,19.445
1264,9.72
1252,3.79
1246,10.04
1232,9.335
1223,9.75
1210,10.035
1201,9.29
1185,12.34
1184,9.575
1166,9.585
1152,9.65
1114,9.465
1359,12.585
1078,9.83
1054,3.95
1044,9.905
1014,10.18
988,10.34
978,1.525
977,10.43
972,9.025
971,8.39
965,11.0
964,9.89
956,1.625
1332,8.035
1276,9.535
1370,9.16
1424,8.56
1425,5.985
1457,17.33
1505,6.675
1531,6.16
1566,2.95
14897,23.565
14889,28.6
14893,29.54
14895,1.61
14896,17.69
1937,9.265
14898,5.945
14902,1.885
14903,1.96
1931,8.545
1942,10.24
14884,41.5
1750,9.4
14882,4.775
14881,1.995
2314,7.705
1968,8.465
1930,9.105
1789,9.6
1816,11.9
1823,11.025
1879,8.525
1894,7.195
1904,8.48
1923,9.14
1967,9.63
1593,1.675
1974,8.55
1976,9.69
2283,9.315
2280,10.28
2261,8.785
2201,9.77
2175,8.98
2172,10.085
2170,8.715
2157,10.12
2140,1.38
2087,9.945
2084,9.365
2059,3.32
2037,3.99
2036,3.87
2021,8.72
2018,9.69
2014,9.025
2004,2.67
2000,5.375
1993,9.99
14906,1.45
1986,9.7
1977,4.735
14904,1.295
14977,19.425
14907,9.555
14911,1.59
14987,8.175
15000,1.07
2298,6.17
1736,9.41
1722,6.905
1704,8.795
1695,8.055
1689,3.58
1687,8.22
1675,9.815
1673,9.675
1671,9.73
1670,9.015
1669,9.95
1668,6.415
1651,6.49
1639,3.31
1636,8.37
1633,5.96
1627,6.045
1623,5.45
1620,8.81
1614,5.13
14986,9.555
14985,8.96
14984,1.0
14961,2.83
14917,2.87
14921,1.08
14927,1.64
14930,2.85
14932,3.23
14936,1.035
14944,5.055
14945,5.16
14950,1.95
14953,18.88
14962,8.09
14983,4.95
14969,7.66
14970,8.995
14971,8.67
14974,10.335
1613,8.855
14978,1.25
14979,1.155
14980,16.985
14981,9.0
14982,3.125
2289,6.89
2306,6.365
2317,1.345
