ride_id,number_of_ticket
15344,20.0
15335,7.0
15339,9.0
15338,5.0
15337,10.0
15336,3.0
247,7.0
15316,32.0
15323,30.0
15317,22.0
15318,3.0
15319,11.0
15320,6.0
15322,20.0
15321,7.0
15324,2.0
15325,9.0
15326,8.0
256,8.0
15303,6.0
15298,2.0
15297,21.0
15296,2.0
15299,20.0
15300,30.0
15301,11.0
15302,20.0
15295,3.0
15304,12.0
15305,16.0
15306,12.0
15307,11.0
298,9.0
275,1.0
288,9.0
15264,7.0
286,9.0
292,6.0
15282,1.0
15280,1.0
15279,1.0
15262,21.0
15261,2.0
15260,1.0
15259,3.0
15258,2.0
15257,1.0
15256,1.0
15254,1.0
15250,1.0
15249,2.0
15247,5.0
15243,20.0
15242,30.0
15237,17.0
15235,1.0
15234,2.0
15231,38.0
15230,12.0
15229,11.0
15228,3.0
15224,29.0
15265,7.0
15267,6.0
15268,16.0
15274,20.0
15277,3.0
15278,3.0
285,9.0
287,4.0
15263,1.0
374,9.0
438,7.0
434,1.0
432,1.0
427,3.0
418,6.0
410,4.0
401,4.0
399,5.0
377,6.0
436,1.0
373,9.0
329,5.0
364,8.0
310,6.0
311,9.0
302,9.0
341,9.0
344,9.0
358,9.0
563,9.0
494,5.0
553,9.0
545,9.0
531,9.0
530,1.0
519,9.0
508,1.0
496,9.0
471,5.0
486,5.0
485,7.0
841,9.0
473,7.0
470,5.0
469,4.0
468,9.0
15101,1.0
583,9.0
573,9.0
674,5.0
592,9.0
595,7.0
765,9.0
760,3.0
757,9.0
735,9.0
718,5.0
709,9.0
700,6.0
697,6.0
679,9.0
15103,20.0
670,9.0
662,9.0
651,9.0
640,9.0
617,9.0
606,9.0
605,9.0
15102,39.0
15115,1.0
15104,12.0
15184,3.0
15187,5.0
15188,2.0
15191,11.0
15194,21.0
15196,1.0
15198,2.0
15199,1.0
15201,6.0
15202,5.0
15203,1.0
15204,7.0
15205,1.0
15206,3.0
15207,1.0
15208,11.0
15209,9.0
464,1.0
15185,16.0
15176,2.0
15105,3.0
15172,3.0
15106,7.0
15107,2.0
15108,2.0
15109,31.0
15110,29.0
15112,3.0
15114,2.0
793,9.0
15119,20.0
15120,2.0
15121,17.0
15122,13.0
15127,1.0
15128,1.0
15160,1.0
15167,3.0
15171,1.0
780,9.0
807,8.0
475,9.0
854,9.0
856,9.0
888,6.0
902,9.0
15073,1.0
15056,2.0
15059,5.0
15061,5.0
15069,20.0
15070,7.0
15071,20.0
15072,15.0
15076,1.0
15074,3.0
15075,12.0
15053,3.0
15077,11.0
15078,7.0
15079,2.0
15080,9.0
15081,8.0
15055,2.0
15041,1.0
15045,1.0
15083,9.0
